To pos,well,well_plate,Antibody,Gene,Uniprot,U-2 OS (tpm),Gene desc,Protein class,ENSG,candidate,comment_variation,IF antibody state,IF antibody location score,IF antibody score,IF main antibody location,IF additional antibody location,IF spatial var,IF intensity var,IF spatial corr,IF intensity corr,IF siRNA score,WB overall score,WB U-251MG score,WB RT4 score
584,F02,F02_6724,HPA019827,NUDT5,Q9UKK9,94.65,nudix hydrolase 5,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000165609,Christian,,1000: Finished IF,Vesicles - 7: Approved (auto);Centrosome - 7: Approved (auto);Nucleoplasm - 7: Approved (auto),3:Approved,Vesicles,Nucleoplasm;Centrosome,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,1:Single band corresponding to the predicted size in kDa (+/-20%).
585,G02,G02_6724,HPA020099,PLCG2,P16885,3.39,phospholipase C gamma 2,Cancer-related genes;Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);RAS pathway related proteins;SH2-domain containing proteins;SH3-domain containing proteins,ENSG00000197943,Christian,,1000: Finished IF,Vesicles - 7: Approved (auto),3:Approved,Vesicles,,,,,,,7:Only bands not corresponding to the predicted size.,4:No bands detected.,4:No bands detected.
586,H02,H02_6724,HPA020463,NDUFV3,P56181,15.73,NADH:ubiquinone oxidoreductase subunit V3,FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000160194,Christian,,1000: Finished IF,Mitochondria - 7: Approved (auto),3:Approved,Mitochondria,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,7:Only bands not corresponding to the predicted size.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
587,A03,A03_6724,HPA020653,NSUN7,Q8NE18,2.26,NOP2/Sun RNA methyltransferase family member 7,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000179299,Christian,,1000: Finished IF,Vesicles - 7: Approved (auto),3:Approved,Vesicles,,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
588,B03,B03_6724,HPA020952,PHPT1,Q9NRX4,53.16,phosphohistidine phosphatase 1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000054148,Christian,,1000: Finished IF,Cytosol - 7: Approved (auto);Nuclear bodies - 7: Approved (auto),3:Approved,Cytosol,Nuclear bodies,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
589,C03,C03_6724,HPA020984,PARP3,Q9Y6F1,9.89,poly(ADP-ribose) polymerase family member 3,Cytoskeleton related proteins;Enzymes;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Peptideatlas),ENSG00000041880,Christian,,950: Pending destiny IF,Nuclear bodies - 3: Supportive (auto);Nucleoplasm - 3: Supportive (auto);Cytokinetic bridge - 12: Uncertain (auto),2:Supportive,Nucleoplasm;Nuclear bodies,Cytokinetic bridge,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
590,D03,D03_6724,HPA021152,PDP1,Q9P0J1,18.04,pyruvate dehyrogenase phosphatase catalytic subunit 1,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000164951,Christian,,1000: Finished IF,Cytosol - 7: Approved (auto);Nucleoplasm - 7: Approved (auto);Mitochondria - 7: Approved (auto),3:Approved,Nucleoplasm;Cytosol,Mitochondria,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
591,E03,E03_6724,HPA021332,NQO2,P16083,14.31,N-ribosyldihydronicotinamide:quinone reductase 2,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000124588,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Nucleoplasm;Cytosol,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
592,F03,F03_6724,HPA022526,PGS1,Q32NB8,17.39,phosphatidylglycerophosphate synthase 1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000087157,Christian,,1000: Finished IF,Plasma membrane - 7: Approved (auto);Vesicles - 7: Approved (auto);Cell Junctions - 7: Approved (auto);Intermediate filaments - 7: Approved (auto);Aggresome - 7: Approved (auto),3:Approved,Vesicles;Plasma membrane;Cell Junctions,Intermediate filaments;Aggresome,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
593,G03,G03_6724,HPA022534,MRM3,Q9HC36,11.15,mitochondrial rRNA methyltransferase 3,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000171861,Christian,,1000: Finished IF,Mitochondria - 3: Supportive (auto),2:Supportive,Mitochondria,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
594,H03,H03_6724,HPA022949,NMT1,P30419,45.34,N-myristoyltransferase 1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000136448,Christian,,1000: Finished IF,Plasma membrane - 12: Uncertain (auto);Cytosol - 3: Supportive (auto),2:Supportive,Plasma membrane;Cytosol,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
595,A04,A04_6724,HPA023034,PCYT2,Q99447,20.59,"phosphate cytidylyltransferase 2, ethanolamine",Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000185813,Christian,,1000: Finished IF,Centrosome - 7: Approved (auto);Intermediate filaments - 7: Approved (auto),3:Approved,Centrosome,Intermediate filaments,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
596,B04,B04_6724,HPA026593,P4HA1,P13674,47.55,prolyl 4-hydroxylase subunit alpha 1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000122884,Christian,,1000: Finished IF,Endoplasmic reticulum - 3: Supportive (auto);Vesicles - 12: Uncertain (auto),2:Supportive,Endoplasmic reticulum,Vesicles,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
597,C04,C04_6724,HPA026793,NARS2,Q96I59,34.19,"asparaginyl-tRNA synthetase 2, mitochondrial",Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000137513,Christian,,1000: Finished IF,Mitochondria - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto);Cytosol - 12: Uncertain (auto),2:Supportive,Nucleoplasm;Mitochondria,Cytosol,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
598,D04,D04_6724,HPA026921,PIGP,P57054,6.48,phosphatidylinositol glycan anchor biosynthesis class P,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Peptideatlas),ENSG00000185808,Christian,,1000: Finished IF,Vesicles - 7: Approved (auto),3:Approved,Vesicles,,,,,,,7:Only bands not corresponding to the predicted size.,4:No bands detected.,7:Only bands not corresponding to the predicted size.
599,E04,E04_6724,HPA029686,PDSS2,Q86YH6,5.50,decaprenyl diphosphate synthase subunit 2,Cancer-related genes;Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000164494,Christian,,1000: Finished IF,Cytosol - 2 [7]: Supportive (auto),2:Supportive,Cytosol,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,4:No bands detected.
600,F04,F04_6724,HPA030711,NAA10,P41227,90.45,"N(alpha)-acetyltransferase 10, NatA catalytic subunit",Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000102030,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoli - 3: Supportive (auto),2:Supportive,Cytosol,Nucleoli,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
601,G04,G04_6724,HPA030753,OGT,O15294,29.30,O-linked N-acetylglucosamine (GlcNAc) transferase,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000147162,Christian,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto);Plasma membrane - 3: Supportive (auto);Cytosol - 3: Supportive (auto),2:Supportive,Nucleoplasm,Plasma membrane;Cytosol,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
602,H04,H04_6724,HPA034726,PHOSPHO2,Q8TCD6,4.65,"phosphatase, orphan 2",Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Peptideatlas),ENSG00000144362,Christian,,1000: Finished IF,Vesicles - 7: Approved (auto),3:Approved,Vesicles,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
603,A05,A05_6724,HPA035428,PCYT1A,P49585,29.75,"phosphate cytidylyltransferase 1, choline, alpha",Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000161217,Christian,,1000: Finished IF,Nucleoplasm - 7: Approved (auto),3:Approved,Nucleoplasm,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
604,B05,B05_6724,HPA035639,PAFAH1B3,Q15102,106.99,platelet activating factor acetylhydrolase 1b catalytic subunit 3,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000079462,Christian,,1000: Finished IF,Intermediate filaments - 5: Approved (auto),3:Approved,Intermediate filaments,,,Intermediate filaments,,,,7:Only bands not corresponding to the predicted size.,,
605,C05,C05_6724,HPA037361,MMAA,Q8IVH4,1.61,methylmalonic aciduria (cobalamin deficiency) cblA type,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000151611,Christian,,1000: Finished IF,Cytosol - 7: Approved (auto),3:Approved,Cytosol,,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,4:No bands detected.,1:Single band corresponding to the predicted size in kDa (+/-20%).
606,D05,D05_6724,HPA037612,NEURL1B,A8MQ27,19.19,neuralized E3 ubiquitin protein ligase 1B,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Peptideatlas),ENSG00000214357,Christian,,1000: Finished IF,Vesicles - 5: Approved (auto),3:Approved,Vesicles,,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
607,E05,E05_6724,HPA037641,PIK3C2A,O00443,28.83,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000011405,Christian,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm,,,,,,,7:Only bands not corresponding to the predicted size.,4:No bands detected.,7:Only bands not corresponding to the predicted size.
608,F05,F05_6724,HPA037680,MOCS2,O96007;O96033,66.41,molybdenum cofactor synthesis 2,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000164172,Christian,,1000: Finished IF,Cytosol - 3: Supportive (manual);Nuclear speckles - 12: Uncertain (auto);Nucleoplasm - 12: Uncertain (manual),2:Supportive,Cytosol,Nucleoplasm;Nuclear speckles,,,,,,7:Only bands not corresponding to the predicted size.,,
609,G05,G05_6724,HPA037816,NAA40,Q86UY6,19.16,"N(alpha)-acetyltransferase 40, NatD catalytic subunit",Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000110583,Christian,,1000: Finished IF,Nuclear bodies - 7: Approved (auto),3:Approved,Nuclear bodies,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,4:No bands detected.,7:Only bands not corresponding to the predicted size.
